CONVERSATION_ID,CONVERSATION_URL,CONVERSATION_STATUS,TAGS,CATEGORY,START_DATE,CLOSED_DATE
797f69e8-f0b3-4c84-9213-2442cfa34d14,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=797f69e8-f0b3-4c84-9213-2442cfa34d14,OPEN,,,2025-03-17 00:18:49,
72ddbca2-0e59-42a2-941d-a987783d0fb9,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=72ddbca2-0e59-42a2-941d-a987783d0fb9,CLOSED,,,2025-03-17 00:13:10,
63cbec2a-864e-456e-a43e-80f1773c889b,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=63cbec2a-864e-456e-a43e-80f1773c889b,CLOSED,,,2025-03-17 00:12:51,2025-03-17 00:13:09
0f0d41d4-a416-4fe3-b5cb-6ebfd1a11cde,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=0f0d41d4-a416-4fe3-b5cb-6ebfd1a11cde,CLOSED,,,2025-03-17 00:08:16,2025-03-17 00:12:16
88f30a77-5dbd-448f-8a52-cd8529fb19f2,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=88f30a77-5dbd-448f-8a52-cd8529fb19f2,CLOSED,,,2025-03-16 23:33:31,2025-03-17 00:08:08
b8887bd4-7223-48c7-9366-42beda726aca,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=b8887bd4-7223-48c7-9366-42beda726aca,CLOSED,,,2025-03-16 23:32:48,2025-03-16 23:33:30
cc356ae0-e01a-46f9-8842-20f34f54c9f5,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=cc356ae0-e01a-46f9-8842-20f34f54c9f5,CLOSED,,,2025-03-16 23:26:52,2025-03-17 01:40:46
50555413-3c8d-4900-a313-78df9efd5ad1,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=50555413-3c8d-4900-a313-78df9efd5ad1,CLOSED,,,2025-03-16 23:01:10,2025-03-16 23:28:47
bcb5a697-a928-4a12-8067-2c5a360a2706,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=bcb5a697-a928-4a12-8067-2c5a360a2706,CLOSED,,,2025-03-16 22:51:12,2025-03-16 22:59:53
d3cf7367-7d6b-493c-8eef-100cb7bdcb75,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=d3cf7367-7d6b-493c-8eef-100cb7bdcb75,OPEN,,,2025-03-16 18:18:23,
e0cc8a66-4165-4f2f-bd3d-3a52ea22623e,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=e0cc8a66-4165-4f2f-bd3d-3a52ea22623e,OPEN,,,2025-03-14 15:28:33,
f7dde812-7bee-435f-91f2-4519728f1835,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=f7dde812-7bee-435f-91f2-4519728f1835,OPEN,,,2025-03-13 15:03:24,
15e459c0-4ca7-40de-916e-2366e6ab5bd6,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=15e459c0-4ca7-40de-916e-2366e6ab5bd6,OPEN,white list,,2025-03-13 14:31:25,
de90401f-b3e2-446d-a904-65deb33305bf,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=de90401f-b3e2-446d-a904-65deb33305bf,CLOSED,white list,,2025-03-13 14:26:29,2025-03-13 14:31:22
d643eec9-7fdb-4e72-a76a-a33f40095c0b,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=d643eec9-7fdb-4e72-a76a-a33f40095c0b,CLOSED,,,2025-03-13 14:20:02,2025-03-13 14:26:26
83ec76f3-7848-43e3-8824-b9c57996ad14,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=83ec76f3-7848-43e3-8824-b9c57996ad14,CLOSED,Other,,2025-03-13 14:19:13,2025-03-13 14:19:31
452d0c80-ec40-4c2a-9146-fda05956176f,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=452d0c80-ec40-4c2a-9146-fda05956176f,CLOSED,new request,,2025-03-13 13:59:06,2025-03-13 14:18:48
861d70f6-1abe-491c-ae42-4fbc5a09204b,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=861d70f6-1abe-491c-ae42-4fbc5a09204b,OPEN,white list,,2025-03-13 13:29:59,
e08da308-6a5b-4b6d-a1ab-d062b6bf28d0,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=e08da308-6a5b-4b6d-a1ab-d062b6bf28d0,OPEN,"white list, new request",,2025-03-13 13:24:08,
32519002-2fb7-46b0-bbb3-f84cd10c2cf0,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=32519002-2fb7-46b0-bbb3-f84cd10c2cf0,CLOSED,white list,,2025-03-13 13:20:43,2025-03-13 13:22:11
7323a53c-90dd-4b8c-9ee3-6bf49a220538,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=7323a53c-90dd-4b8c-9ee3-6bf49a220538,OPEN,white list,,2025-03-13 13:19:09,
9d9a153f-2594-4b8a-bfae-a1745980fe39,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=9d9a153f-2594-4b8a-bfae-a1745980fe39,CLOSED,new request,,2025-03-13 13:18:33,2025-03-13 13:19:03
0503addd-bebc-4999-9d63-0c17fed7213e,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=0503addd-bebc-4999-9d63-0c17fed7213e,OPEN,"white list, new request",,2025-03-13 13:15:35,
89227758-e4af-4ef4-8dfb-e630dbc5aa7d,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=89227758-e4af-4ef4-8dfb-e630dbc5aa7d,CLOSED,white list,,2025-03-13 13:11:23,2025-03-13 13:14:33
84c36449-df63-4998-9ae0-60752e83e1d9,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=84c36449-df63-4998-9ae0-60752e83e1d9,CLOSED,new request,,2025-03-13 13:09:32,2025-03-13 13:11:09
5cb5c374-b5ea-4b31-b59d-63e3bca2dd60,http://localhost:3000/workspaces/24551f5e-b398-4897-be0e-f0a0814077ce/help-desk?session_id=5cb5c374-b5ea-4b31-b59d-63e3bca2dd60,CLOSED,,,2025-03-13 13:04:58,2025-03-13 13:07:07
