CONVERSATION_ID,CONVERSATION_URL,START_DATE,ASSIGNEE_NAME,ASSIGN_TIMESTAMP
1fd8ed9f-79d6-4a38-9bb3-db8dee2c7910,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=1fd8ed9f-79d6-4a38-9bb3-db8dee2c7910,2025-03-16 04:24:19,,
8cd30f94-f5f0-4fa4-944f-6f1d319f1b82,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=8cd30f94-f5f0-4fa4-944f-6f1d319f1b82,2025-03-15 07:05:06,,
98310657-593d-4bab-a78f-0f8a57a4965e,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=98310657-593d-4bab-a78f-0f8a57a4965e,2025-03-15 06:33:24,,
da347fc4-8041-4edb-a72f-1dfccae19e9f,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=da347fc4-8041-4edb-a72f-1dfccae19e9f,2025-03-14 23:13:49,,
3ad95b95-ffb8-4026-b8ac-5bf7c9d42f68,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=3ad95b95-ffb8-4026-b8ac-5bf7c9d42f68,2025-03-14 10:14:10,,
b30185a4-850f-47d3-b5b1-164771e86a0b,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=b30185a4-850f-47d3-b5b1-164771e86a0b,2025-03-13 21:17:10,,
d73cc392-04a5-4295-befe-e65b3ac82ae9,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=d73cc392-04a5-4295-befe-e65b3ac82ae9,2025-03-13 18:35:58,,
089e7860-9d58-4821-b716-07fcf1e18fd5,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=089e7860-9d58-4821-b716-07fcf1e18fd5,2025-03-13 16:26:49,,
f8da7607-8d54-4301-89cd-1ce20fde734d,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=f8da7607-8d54-4301-89cd-1ce20fde734d,2025-03-13 15:55:21,,
3421ad9d-3d98-4c39-a392-e0afaaca37ab,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=3421ad9d-3d98-4c39-a392-e0afaaca37ab,2025-03-13 15:33:07,,
434d4acb-b75f-428f-bf58-cdb5690b2548,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=434d4acb-b75f-428f-bf58-cdb5690b2548,2025-03-13 14:50:56,,
34b9f24a-d817-4d64-acd3-88cd172ff44d,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=34b9f24a-d817-4d64-acd3-88cd172ff44d,2025-03-13 14:34:48,,
af8138b9-5442-4590-97be-fc82b1ba3b9d,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=af8138b9-5442-4590-97be-fc82b1ba3b9d,2025-03-13 14:33:18,,
b0aa5eaa-b7d4-4544-9ae9-81c268c4a0c1,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=b0aa5eaa-b7d4-4544-9ae9-81c268c4a0c1,2025-03-13 12:55:40,,
71d6628c-2de8-4139-a10c-6372c7d38007,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=71d6628c-2de8-4139-a10c-6372c7d38007,2025-03-13 11:35:41,,
53554d23-b5a6-4337-8b02-988a306a1e82,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=53554d23-b5a6-4337-8b02-988a306a1e82,2025-03-13 11:18:34,,
a902b2ec-9ae5-40f5-9bf4-c43a36798d6a,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=a902b2ec-9ae5-40f5-9bf4-c43a36798d6a,2025-03-13 11:11:58,,
89db3795-a9d1-4202-b5a5-6b27874338a4,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=89db3795-a9d1-4202-b5a5-6b27874338a4,2025-03-13 11:01:18,,
3576ab6c-ce72-4ffc-88ac-7aff480d4b30,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=3576ab6c-ce72-4ffc-88ac-7aff480d4b30,2025-03-13 10:45:25,,
f08e7b00-909a-4708-8e73-dca6495b3e3e,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=f08e7b00-909a-4708-8e73-dca6495b3e3e,2025-03-13 09:21:19,,
3cabe388-4157-4727-a484-69e16981fb11,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=3cabe388-4157-4727-a484-69e16981fb11,2025-03-12 23:37:47,,
b7001a90-7056-4948-b80b-5092895f7b51,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=b7001a90-7056-4948-b80b-5092895f7b51,2025-03-12 23:28:25,,
0a2838b9-8cd2-4df9-8731-1c72f3c4b332,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=0a2838b9-8cd2-4df9-8731-1c72f3c4b332,2025-03-12 23:27:33,,
